CBG,x,y,color,TOWN,COUNTY,Bos_Neighborhood
250092109001,-5.966962,-1.6356874,#386cb0,Salem,Essex,
250173689021,5.0510488,0.3073511,#fdb462,Waltham,Middlesex,
250173683001,5.110261,0.4632532,#fdb462,Waltham,Middlesex,
250251403003,10.913397,2.7572243,#662506,Boston,Suffolk,Hyde Park
250173373004,-2.2626743,-0.9065535,#fdb462,Medford,Middlesex,
250173835012,5.177669,4.1000233,#fdb462,Framingham,Middlesex,
330151061023,-6.031507,10.523291,#a6cee3,,,
250214180041,12.5659275,5.382331,#7fc97f,Braintree,Norfolk,
250173704002,5.863431,-0.57386005,#fdb462,Watertown,Middlesex,
250250404012,3.6559002,-4.856477,#662506,Boston,Suffolk,West End
250250612002,13.267928,0.5649813,#662506,Boston,Suffolk,South Boston
250173531021,4.344901,-3.2764254,#fdb462,Boston,Suffolk,Fenway
250235052004,12.321872,8.797663,#ef3b2c,,,
250173581002,0.16253753,-0.37350518,#fdb462,,,
250173832001,5.2869186,4.1864414,#fdb462,Framingham,Middlesex,
250235115004,15.326726,8.267823,#ef3b2c,Brockton,Plymouth,
250214123003,9.469538,4.172886,#7fc97f,,,
250235309021,13.050446,10.962841,#ef3b2c,,,
330170805002,-4.1877823,12.124067,#fb9a99,,,
250173684003,5.1210732,0.74233574,#fdb462,Newton,Middlesex,
250173302003,-2.6455505,0.2757979,#fdb462,,,
250173686004,5.272877,0.58332145,#fdb462,Newton,Middlesex,
250173141024,-1.9583286,3.042221,#fdb462,,,
250214203014,14.626987,7.608402,#7fc97f,Randolph,Norfolk,
250173747002,6.3251033,1.2282641,#fdb462,Newton,Middlesex,
330170843003,-4.0659018,12.724087,#fb9a99,,,
250092683004,-3.3288927,9.033468,#386cb0,Newburyport,Essex,
250251006032,12.590335,3.322207,#662506,Boston,Suffolk,Dorchester
250092221002,-7.3165035,-0.21398991,#386cb0,,,
250173533003,4.1599307,-3.1276572,#fdb462,Boston,Suffolk,Fenway
250214132003,9.381921,4.304317,#7fc97f,,,
250173611002,1.4319216,2.9528105,#fdb462,,,
250214571004,15.062534,7.8130894,#7fc97f,Brockton,Plymouth,
250214111001,9.090276,4.870395,#7fc97f,,,
250214001004,9.328104,-0.788895,#7fc97f,Boston,Suffolk,Fenway
250214004002,8.711773,-0.500578,#7fc97f,Boston,Suffolk,
250173173023,-0.5852164,2.8664281,#fdb462,Lowell,Middlesex,
250173512041,3.238039,-3.1893885,#fdb462,Cambridge,Middlesex,
250235071043,12.709708,10.090842,#ef3b2c,,,
250251103011,11.073803,2.1546788,#662506,Boston,Suffolk,Mattapan
250235105012,15.228954,7.991326,#ef3b2c,Brockton,Plymouth,
250092045002,-6.3811154,-2.070255,#386cb0,Salem,Essex,
250214431012,8.090679,5.5332932,#7fc97f,,,
250173835013,5.180579,4.1306734,#fdb462,Framingham,Middlesex,
250173332004,-1.2871815,-0.36784104,#fdb462,Woburn,Middlesex,
250173685001,5.301932,0.57548714,#fdb462,Waltham,Middlesex,
250214071002,7.866362,5.095833,#7fc97f,,,
250214009002,9.031468,-0.14877975,#7fc97f,,,
250173222002,3.1798334,4.666313,#fdb462,Marlborough,Middlesex,
250251202013,10.3991785,1.8560947,#662506,Boston,Suffolk,Jamaica Plain
250092526013,-6.7420945,9.265956,#386cb0,Lawrence,Essex,
250173372021,-1.7692962,-0.5580248,#fdb462,Woburn,Middlesex,
250214221003,12.876839,7.6684604,#7fc97f,Weymouth,Norfolk,
250214153002,11.099064,3.1017637,#7fc97f,Randolph,Norfolk,Hyde Park
250214561021,14.781461,6.934849,#7fc97f,,,
250250510002,-2.370792,-6.520226,#662506,Boston,Suffolk,East Boston
330150037031,-5.2925234,11.065384,#a6cee3,,,
250251601013,-1.3609991,-6.1578274,#662506,Chelsea,Suffolk,East Boston
250214231002,12.234285,8.283053,#7fc97f,,,
250173732003,6.1083755,0.34814143,#fdb462,Newton,Middlesex,
330170811001,-3.5362623,12.334569,#fb9a99,,,
250250701014,12.221631,-1.2297646,#662506,Boston,Suffolk,Downtown
250173529002,3.8704472,-3.0359564,#fdb462,Cambridge,Middlesex,
250251201051,9.506823,1.8795359,#662506,Boston,Suffolk,West Roxbury
250092521021,-6.880573,9.63328,#386cb0,Methuen,Essex,
250092531001,-6.8091893,8.448635,#386cb0,,,
250173171011,-0.50194395,2.762012,#fdb462,,,
250214572003,6.710658,2.4342117,#7fc97f,,,
