"term","estimate","std.error","statistic","p.value","phy_quantile"
"Log_Grocery",-0.163591574851719,0.0150739519116514,-10.8526002876041,1.9383121385754e-27,3
"Log_Office",0.26341329330447,0.0177464599855549,14.8431458171872,7.7056030791721e-50,3
"Log_College",0.239615513011222,0.0129623492264322,18.4855004926584,2.70180345461968e-76,3
"Log_Service",-0.0556887082260961,0.0157638016926606,-3.53269530484032,0.000411346264156024,3
"Log_HIGHWAY_NUM",0.172380194552586,0.010611188028315,16.2451361800964,2.4180388509146e-59,3
"Log_PARK_NUM",-0.139173190576981,0.0119780517171942,-11.6190173379533,3.29908937895984e-31,3
"Log_RAILWAY_NUM",0.0353514434326185,0.011527091954143,3.06681369188807,0.00216353661187809,3
"Log_WATER_NUM",0.265692347148749,0.0159528699106626,16.6548306753987,2.79133089399536e-62,3
"diff_county",0.918528935260404,0.0279589398147232,32.8527813052735,1.03946905018358e-236,3
"(Intercept)",0.636631336245927,0.0216436008739303,29.4142984780666,3.60479700143693e-190,4
"RACE_DISTANCE",0.256960079178289,0.00855524678986914,30.0353789305731,3.38915925837724e-198,4
"HOUSING_PRICE_DISTANCE",0.195095527242946,0.00818264749094026,23.8425922000128,1.2086679115971e-125,4
"PUBLIC_COMMUTE_DISTANCE",0.0310882797010925,0.00887351364653667,3.50349150736093,0.000459201297933279,4
"Log_Transportation",-0.040290416668791,0.0100548544999182,-4.00706113341756,6.1478954246659e-05,4
"Log_Entertainment",-0.00863633554442461,0.0144170594422299,-0.599035856030904,0.549148974272937,4
"Log_Shopping",0.32026344543569,0.0164352022098353,19.4864317059656,1.43119725435311e-84,4
"Log_Sports",0.0565444019491292,0.0145960395320296,3.87395511125111,0.000107083145313385,4
"Log_ArtsMuseum",0.0871055875246408,0.0133848313921506,6.50778369727715,7.62676266394423e-11,4
"Log_Grocery",-0.0780106803780298,0.0142145502001927,-5.48808645221658,4.06311208356491e-08,4
"Log_Office",0.218904004803385,0.0169043145839898,12.9495936505293,2.3620100993735e-38,4
"Log_College",0.154821503177572,0.0110946424748637,13.9546185042321,2.9487532314608e-44,4
"Log_Service",0.0113531669034881,0.0148213838464303,0.765999114598367,0.443676829012105,4
