taxonomy,barrier_visit_size,barrier_visit_portion,non_barrier_visit_size,non_barrier_visit_portion,aca_size,barrier_visits_relative_difference,area,area_code
Coffee / Tea,17142,0.03744977967505074,135025,0.0365567333969754,152167,0.024429050275844126,Dallas,19100
Sports,20125,0.043966679264986354,160880,0.04355672852364675,181005,0.009411880901869079,Dallas,19100
Service,10963,0.023950643715878035,87985,0.023821101188171673,98948,0.0054381418677103485,Dallas,19100
Financial Service,27359,0.05977065232351611,220428,0.059678782664162135,247787,0.0015394023680235767,Dallas,19100
Automotive Service,37035,0.08090961324615005,299067,0.08096954332037208,336102,-0.0007401557643088804,Dallas,19100
Shopping,74161,0.16201803234636786,616462,0.16690121816971853,690623,-0.02925793997731678,Dallas,19100
Grocery,16054,0.03507284814509769,133844,0.03623698888935216,149898,-0.032125758235848935,Dallas,19100
Transportation,20925,0.04571442303701066,190165,0.051485363498876696,211090,-0.11208895246494557,Dallas,19100
Public Administration,8133,0.017768000122342063,74327,0.020123327703736274,82460,-0.11704463675542592,Dallas,19100
Health,3947,0.008622930835224902,36988,0.01001414889751769,40935,-0.13892524232764727,Dallas,19100
Neighborhood Service,4378,0.009564527792402995,41169,0.011146114847028921,45547,-0.14189581538786222,Dallas,19100
Office,16893,0.03690579442600817,160407,0.04342866827630907,177300,-0.15019741818468826,Dallas,19100
Industry,12843,0.028057841580135145,138531,0.03750594952206183,151374,-0.25190957867548713,Dallas,19100
College,5817,0.01270828190233171,69964,0.0189420869867505,75781,-0.32909811304209385,Dallas,19100
Agriculture,7,1.5292758005212646e-05,300,8.122214418879925e-05,307,-0.8117168888121823,Dallas,19100
Transportation,37916,0.10497115203596859,237742,0.08807715633285876,275658,0.1918090502293751,Miami,33100
School,1219,0.003374824199067563,8539,0.0031634748505786985,9758,0.0668092393559576,Miami,33100
Food,72010,0.1993610259022602,506043,0.18747561820018693,578053,0.0633970849979116,Miami,33100
Automotive Service,25303,0.07005182666858617,182993,0.06779409220423326,208296,0.03330282021553399,Miami,33100
Financial Service,18864,0.05222533526760501,136945,0.05073451966418783,155809,0.02938464014806691,Miami,33100
Grocery,20447,0.056607900244737046,149008,0.05520354380314214,169455,0.025439606678203407,Miami,33100
Service,10381,0.02873999180518488,75993,0.028153407228015813,86374,0.020835296147933006,Miami,33100
Shopping,71866,0.1989623592208281,541018,0.2004329355557309,612884,-0.0073369994348753305,Miami,33100
Personal Care Service,28179,0.07801408622274393,216002,0.08002305828255066,244181,-0.025104914794849713,Miami,33100
Office,15424,0.04270163121117153,125892,0.046639673953513705,141316,-0.0844354689586224,Miami,33100
Public Administration,6026,0.016683093210484935,49513,0.018343263880630414,55539,-0.09050573992442744,Miami,33100
Coffee / Tea,9383,0.02597701022137075,77723,0.02879432671407989,87106,-0.09784276328751683,Miami,33100
Entertainment,7921,0.021929435997386518,65686,0.024334934891101112,73607,-0.09884961289106411,Miami,33100
Industry,8714,0.024124871263884122,73117,0.027087924891645708,81831,-0.10938651224167537,Miami,33100
City / Outdoors,4383,0.012134417116089523,37059,0.013729384528351795,41442,-0.11617180718979739,Miami,33100
